Session ID,Time,JKP102,JKP104,JKP110,JKP112,JKP202,JKP204,JKP210,JKP212
117,F10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
118,F10.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
119,F11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
120,F11.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
121,F12.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
122,F12.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
123,F13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
124,F13.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125,F14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
126,F14.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
127,F15.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
128,F15.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
129,F16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
130,F16.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
131,F17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ABC-123
132,F17.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ABC-123
133,F18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ABC-123
134,F18.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ABC-123
135,F19.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
136,F19.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
137,F20.0,1.0,1.0,1.0,1.0,1.0,DSO-545,1.0,GSBA-528
138,F20.5,1.0,1.0,1.0,1.0,1.0,DSO-545,1.0,GSBA-528
139,F21.0,1.0,1.0,1.0,1.0,1.0,DSO-545,1.0,GSBA-528
140,F21.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,GSBA-528
